"| Grammatical form";"| Ido";"| English";"| Esperanto"
"| [Singular noun](/wiki/Noun "Noun")";"|  **-o** (libro)";"| book";"|  **-o** (libro)"
"| [Plural noun](/wiki/Noun "Noun")";"|  **-i** (libri)";"| books";"|  **-oj** (libroj)"
"| [Adjective](/wiki/Adjective "Adjective")";"|  **-a** (varma)";"| warm";"|  **-a** (varma)"
"| [Adverb](/wiki/Adverb "Adverb")";"|  **-e** (varme)";"| warmly";"|  **-e** (varme)"
"| [Present tense infinitive](/wiki/Infinitive "Infinitive")";"|  **-ar** (irar)";"| to be going";"| to go";"|  **-anti** (iranti)";"|  **-i** (iri)"
"| [Past tense infinitive](/wiki/Infinitive "Infinitive")";"|  **-ir** (irir)";"| to have gone";"|  **-inti** (irinti)"
"| [Future tense infinitive](/wiki/Infinitive "Infinitive")";"|  **-or** (iror)";"| to be going to go";"|  **-onti** (ironti)"
"| [Present](/wiki/Present_tense "Present tense")";"|  **-as** (iras)";"| go, goes";"|  **-as** (iras)"
"| [Past](/wiki/Past_tense "Past tense")";"|  **-is** (iris)";"| went";"|  **-is** (iris)"
"| [Future](/wiki/Future_tense "Future tense")";"|  **-os** (iros)";"| will go";"|  **-os** (iros)"
"| [Imperative](/wiki/Imperative_mood "Imperative mood")";"|  **-ez** (irez)";"| go!";"|  **-u** (iru)"
"| [Conditional](/wiki/Conditional_mood "Conditional mood")";"|  **-us** (irus)";"| would go";"|  **-us** (irus)"
