"| Editor";"| Version";"| Year";"| Creator";"| [Software license](/wiki/Software_license "Software license")"
"| [Amaya](/wiki/Amaya_\(web_browser\) "Amaya \(web browser\)")";"| 11.4.4 (January 18)";"| 2012";"| [W3C](/wiki/World_Wide_Web_Consortium "World Wide Web Consortium"),[INRIA](/wiki/Institut_National_de_Recherche_en_Informatique_et_en_Automatique"Institut National de Recherche en Informatique et en Automatique")";"| [W3C](/wiki/W3C_Software_Notice_and_License "W3C Software Notice andLicense")"
"| [Aptana Studio](/wiki/Aptana_Studio "Aptana Studio")";"| 3.6.0 (August 1)";"| 2014";"| [Aptana](/wiki/Aptana "Aptana")";"| [GPL](/wiki/GNU_General_Public_License "GNU General Public License")"
"| [Arachnophilia](/wiki/Arachnophilia "Arachnophilia")";"| 5.5, build 2935 (March 9)";"| 2018";"| Paul Lutus [1]";"| [LGPL](/wiki/GNU_Lesser_General_Public_License "GNU Lesser General PublicLicense")"
"| [Atom](/wiki/Atom_\(text_editor\) "Atom \(text editor\)")";"| 1.46.0 (May 5)";"| 2020";"| [GitHub](/wiki/GitHub "GitHub")";"| [MIT License](/wiki/MIT_License "MIT License")"
"| [Bluefish](/wiki/Bluefish_\(text_editor\) "Bluefish \(text editor\)")";"| 2.2.11 (January 24)";"| 2020";"| [Bluefish](/wiki/Bluefish_\(text_editor\) "Bluefish \(text editor\)")";"| [GPL](/wiki/GNU_General_Public_License "GNU General Public License")"
"| [BlueGriffon](/wiki/BlueGriffon "BlueGriffon")";"| 3.1 (October 14)";"| 2019";"| Disruptive Innovations";"| [MPL 1.1](/wiki/Mozilla_Public_License "Mozilla Public License")/[GPL2.0](/wiki/GNU_General_Public_License "GNU General Public License")/[LGPL2.1](/wiki/GNU_Lesser_General_Public_License "GNU Lesser General PublicLicense")"
"| [Brackets](/wiki/Adobe_Brackets "Adobe Brackets")";"| 1.13 (June 18)";"| 2018";"| [Adobe](/wiki/Adobe_Systems "Adobe Systems")";"| [MIT License](/wiki/MIT_License "MIT License")"
"| [Claris Homepage](/wiki/Claris_Homepage "Claris Homepage")";"| 3.0";"| 1998";"| [Claris](/wiki/Claris "Claris")";"| [Proprietary](/wiki/Proprietary_software "Proprietary software")"
"| [Coda](/wiki/Coda_\(web_development_software\) "Coda \(web developmentsoftware\)")";"| 2";"| 2012";"| Panic, Inc.";"| [Proprietary](/wiki/Proprietary_software "Proprietary software")"
"| [Codelobster](/wiki/Codelobster "Codelobster")";"| 5.10.1 (August 22)";"| 2016";"| Codelobster Software";"| [Proprietary](/wiki/Proprietary_software "Proprietary software")"
"| [CoffeeCup HTML Editor](/wiki/CoffeeCup_HTML_Editor "CoffeeCup HTML Editor")";"| 15.1 (July 10)";"| 2015";"| [CoffeeCup Software](/wiki/CoffeeCup_Software "CoffeeCup Software")";"| [Proprietary](/wiki/Proprietary_software "Proprietary software")"
"| [CudaText](/wiki/CudaText "CudaText")";"| 1.57.0 (June 25)";"| 2018";"| UVViewSoft (alexey_t, kvichans, matthias030)";"| [MPL 2.0](/wiki/Mozilla_Public_License "Mozilla Public License")"
"| [Contribute](/wiki/Adobe_Contribute "Adobe Contribute")";"| CS6.5 (8)(August 23)";"| 2012";"| [Adobe Systems](/wiki/Adobe_Systems "Adobe Systems") (formerly[Macromedia](/wiki/Macromedia "Macromedia"))";"| [Proprietary](/wiki/Proprietary_software "Proprietary software")"
"| [Dreamweaver](/wiki/Adobe_Dreamweaver "Adobe Dreamweaver")";"| CC 2020 (20.1) (February)";"| 2020";"| [Adobe Systems](/wiki/Adobe_Systems "Adobe Systems") (formerly[Macromedia](/wiki/Macromedia "Macromedia"))";"| [Proprietary](/wiki/Proprietary_software "Proprietary software")"
"| [EZGenerator](/wiki/EZGenerator "EZGenerator")";"| 4.1 (December)";"| 2012";"| [Image-Line](/wiki/Image-Line "Image-Line")";"| [Proprietary](/wiki/Proprietary_software "Proprietary software")"
"| [Freeway](/wiki/Freeway_\(software\) "Freeway \(software\)")";"| 7.1.3 (May 5)";"| 2016";"| [Softpress](/wiki/Softpress "Softpress")";"| [Proprietary](/wiki/Proprietary_software "Proprietary software")"
