"| Editor";"| [JPEG](/wiki/JPEG "JPEG")";"| [GIF](/wiki/Graphics_Interchange_Format "Graphics Interchange Format")";"| [PNG](/wiki/Portable_Network_Graphics "Portable Network Graphics")";"| [TIFF](/wiki/Tagged_Image_File_Format "Tagged Image File Format")";"| [SVG](/wiki/Scalable_Vector_Graphics "Scalable Vector Graphics")"
"| [Amaya](/wiki/Amaya_\(web_browser\) "Amaya \(web browser\)")";"| Yes";"| Yes";"| Yes";"| Yes";"| Yes"
"| [Aptana](/wiki/Aptana "Aptana")";"| Yes";"| Yes";"| Yes";"| Yes";"| Depends"
"| [Arachnophilia](/wiki/Arachnophilia "Arachnophilia")";"| ?";"| ?";"| ?";"| ?";"| ?"
"| [Bluefish](/wiki/Bluefish_\(text_editor\) "Bluefish \(text editor\)")";"| Yes";"| Yes";"| Yes";"| Yes";"| Yes"
"| [BlueGriffon](/wiki/BlueGriffon "BlueGriffon")";"| Yes";"| Yes";"| Yes";"| ?";"| Yes"
"| [Brackets](/wiki/Adobe_Brackets "Adobe Brackets")";"| Yes";"| Yes";"| Yes";"| No";"| Yes  (via extension)[16]"
"| [Claris Homepage](/wiki/Claris_Homepage "Claris Homepage")";"| Yes";"| Yes";"| No";"| No";"| No"
"| [Codelobster](/wiki/Codelobster "Codelobster")";"| Yes";"| Yes";"| Yes";"| No";"| No"
"| [CoffeeCup HTML Editor](/wiki/CoffeeCup_HTML_Editor "CoffeeCup HTML Editor")";"| Yes";"| Yes";"| Yes";"| Yes";"| No"
"| [Dreamweaver](/wiki/Dreamweaver "Dreamweaver")";"| Yes";"| Yes";"| Yes";"| Yes";"| Yes"
"| [Freeway](/wiki/Freeway_\(software\) "Freeway \(software\)")";"| Yes";"| Yes";"| Yes";"| Yes";"| Yes"
"| [GoLive](/wiki/Adobe_GoLive "Adobe GoLive")";"| Yes";"| Yes";"| Yes";"| No";"| Yes"
"| [KompoZer](/wiki/KompoZer "KompoZer")";"| Yes";"| Yes";"| Yes";"| No";"| No"
"| [Maqetta](/wiki/Maqetta "Maqetta")";"| ?";"| ?";"| ?";"| ?";"| ?"
"| [Microsoft Expression Web](/wiki/Microsoft_Expression_Web "MicrosoftExpression Web")";"| Yes";"| Yes";"| Yes";"| Yes";"| No"
"| [Microsoft FrontPage](/wiki/Microsoft_FrontPage "Microsoft FrontPage")[17]";"| Yes";"| Yes";"| Yes";"| ?";"| Depends"
"| [Microsoft SharePoint Designer](/wiki/Microsoft_SharePoint_Designer"Microsoft SharePoint Designer")";"| Yes";"| Yes";"| Yes";"| Yes";"| No"
"| [Microsoft Visual Web Developer](/wiki/Microsoft_Visual_Web_Developer"Microsoft Visual Web Developer")";"| Yes";"| Yes";"| Yes";"| Yes";"| No"
"| [Mobirise](/wiki/Mobirise "Mobirise")";"| Yes";"| Yes";"| Yes";"| Yes";"| Yes"
"| [Nvu](/wiki/Nvu "Nvu")";"| Yes";"| Yes";"| Yes";"| No";"| No"
"| [openElement](/wiki/OpenElement "OpenElement")";"| Yes";"| Yes";"| Yes";"| No";"| No"
"| [OpenOffice.org](/wiki/OpenOffice.org "OpenOffice.org")";"| Yes";"| Yes";"| Yes";"| Yes";"| Yes"
"| [oXygenXML Editor](/wiki/Oxygen_XML_Editor "Oxygen XML Editor")";"| Yes";"| Yes";"| Yes";"| Yes";"| Yes"
"| [Quanta Plus](/wiki/Quanta_Plus "Quanta Plus")";"| Yes";"| Yes";"| Yes";"| Yes";"| Yes"
"| [RocketCake](/wiki/RocketCake "RocketCake")";"| Yes";"| Yes";"| Yes";"| No";"| No"
"| [SeaMonkey](/wiki/SeaMonkey "SeaMonkey") Composer";"| Yes";"| Yes";"| Yes";"| No";"| Yes"
"| [TOWeb](/wiki/TOWeb "TOWeb")";"| Yes";"| Yes";"| Yes";"| No";"| No"
"| Web Architect";"| Yes";"| Yes";"| Yes";"| Yes";"| Depends"
"| [WebStorm](/wiki/WebStorm "WebStorm") IDE";"| Yes";"| Yes";"| Yes";"| No";"| No"
"| Editor";"| [JPEG](/wiki/JPEG "JPEG")";"| [GIF](/wiki/Graphics_Interchange_Format "Graphics Interchange Format")";"| [PNG](/wiki/Portable_Network_Graphics "Portable Network Graphics")";"| [TIFF](/wiki/Tagged_Image_File_Format "Tagged Image File Format")";"| [SVG](/wiki/Scalable_Vector_Graphics "Scalable Vector Graphics")"
